pair_id,sector,entry_date,exit_date,exit_reason,entry_z_score,exit_z_score,holding_sessions,gross_pnl,execution_cost,borrow_cost,net_pnl,net_return
AVB__CPT,Real Estate,2008-12-19,2009-01-13,stop_loss,-2.158483990565586,-4.027653151983469,15,-0.0153937260555077,0.0003649836541323,0.0001620408814081,-0.0159207505910481,-0.0798049746788026
BAC__JPM,Financials,2009-04-06,2009-05-01,qualification_expiry,2.125179587918532,3.033670036906848,18,-0.0128811378145788,0.0004198269599992,0.0003476534135839,-0.013648618188162,-0.0707160204186369
ALB__LIN,Materials,2009-03-05,2009-03-16,stop_loss,2.371101648564645,4.317508743930001,7,-0.0113935026770167,0.0004177238377068,0.0001034289495329,-0.0119146554642564,-0.0609791645567555
CHRW__EXPD,Industrials,2006-05-01,2006-05-05,stop_loss,-3.04080616262705,-7.626075567462322,4,-0.0111743383699834,0.0004349333186555,5.1021165557572166e-05,-0.0116602928541966,-0.0577033469304164
BKR__SLB,Energy,2020-05-13,2020-06-01,qualification_expiry,2.182459263007682,3.867699408261916,12,-0.0103218242125215,0.0004181387662373,0.0001713278468105,-0.0109112908255694,-0.0557293508222652
EQR__ESS,Real Estate,2009-02-24,2009-03-02,stop_loss,-2.8352759462526635,-5.005193039565217,4,-0.0089740966706559,0.0003861736373757,4.6909487054837794e-05,-0.0094071797950865,-0.0476867287260115
EL__PG,Consumer Staples,2020-04-02,2020-04-03,stop_loss,2.50656223484682,4.408090137584185,1,-0.0080203076812176,0.00039126115447,1.4133903213470878e-05,-0.008425702738901,-0.0435747568114226
LULU__RL,Consumer Discretionary,2010-03-15,2010-04-01,qualification_expiry,-2.3577241943897778,-3.69930224648302,13,-0.006622570923421,0.0004157371148948,0.0001126219098244,-0.0071509299481403,-0.035992062870282
CCL__NCLH,Consumer Discretionary,2020-10-02,2020-10-30,maximum_holding_period,2.123932689205408,3.1264010802130464,20,-0.0064785259467646,0.0003653177866717,0.0002167166779059,-0.0070605604113423,-0.0371372653145209
DOV__HUBB,Industrials,2021-02-17,2021-02-23,stop_loss,-2.4552796603515588,-4.8161719514885375,4,-0.0065382663083906,0.0003982730180572,4.944938891488819e-05,-0.0069859887153627,-0.0358791650285936
