year,net_return
2001,0.005748934707032305
2002,0.002393494281990316
2003,-0.004242724603185644
2004,0.0
2005,0.0035893257272756607
2006,-0.008711834297438936
2007,-0.005873334002900132
2008,-0.008636542552519888
2009,-0.004062118005834114
2010,0.014214409988953625
2011,-0.0036237419241973434
2012,-0.005962739913502602
2013,0.0014579167450219366
2014,-0.0010805654579977286
2015,0.0
2016,-0.00645254533618822
2017,-0.0032757605919707666
2018,-0.0026990340179151584
2019,-0.005829484660070938
2020,0.00391094175230533
2021,-0.0016201920544177684
2022,-0.007122729560952612
2023,0.0
2024,0.0063520602250606295
2025,-0.003185217831536913
2026,0.004552836246560332
